Year,Country,Rider,Team,Time,Margin,Stages Won,Stages Led,Avg Speed,Height,Weight,Born,Died
1903,France,Maurice Garin,La Française,"94h 33' 14""","+ 2h 59' 21""",3,6,25.7km/h,1.62m,60kg,1871-03-03,1957-02-19
1904,France,Henri Cornet,Conte,"96h 05' 55""","+ 2h 16' 14""",1,3,25.3km/h,,,1884-08-04,1941-03-18
1905,France,Louis Trousselier,Peugeot–Wolber,,,5,10,,,,1881-06-29,1939-04-24
1906,France,René Pottier,Peugeot–Wolber,,,5,12,,,,1879-06-05,1907-01-25
1907,France,Lucien Petit-Breton,Peugeot–Wolber,,,2,5,,,,1882-10-18,1917-12-20
1908,France,Lucien Petit-Breton,Peugeot–Wolber,,,5,13,,,,1882-10-18,1917-12-20
1909,Luxembourg,François Faber,Alcyon–Dunlop,,,6,13,,1.78m,88kg,1887-01-26,1915-05-09
1910,France,Octave Lapize,Alcyon–Dunlop,,,4,3,,,,1887-10-24,1917-07-14
1911,France,Gustave Garrigou,Alcyon–Dunlop,,,2,13,,,,1884-09-24,1963-01-28
1912,Belgium,Odile Defraye,Alcyon–Dunlop,,,3,13,,,,1888-07-14,1965-08-21
1913,Belgium,Philippe Thys,Peugeot–Wolber,"197h 54' 00""","+ 8' 37""",1,8,26.7km/h,,,1889-10-08,1971-01-16
1914,Belgium,Philippe Thys,Peugeot–Wolber,"200h 28' 48""","+ 1' 50""",1,15,26.8km/h,,,1889-10-08,1971-01-16
1919,Belgium,Firmin Lambot,La Sportive,"231h 07' 15""","+ 1h 42' 54""",1,2,24.1km/h,,,1886-03-14,1964-01-19
1920,Belgium,Philippe Thys,La Sportive,"228h 36' 13""","+ 57' 21""",4,14,24.1km/h,,,1889-10-08,1971-01-16
1921,Belgium,Léon Scieur,La Sportive,"221h 50' 26""","+ 18' 36""",2,14,24.7km/h,,,1888-03-18,1969-10-07
1922,Belgium,Firmin Lambot,Peugeot–Wolber,"222h 08' 06""","+ 41' 15""",0,3,24.2km/h,,,1886-03-14,1964-01-19
1923,France,Henri Pélissier,Automoto–Hutchinson,"222h 15' 30""","+ 30 '41""",3,6,24.2km/h,,,1889-01-22,1935-05-01
1924,Italy,Ottavio Bottecchia,Automoto,"226h 18' 21""","+ 35' 36""",4,15,24.0km/h,,,1894-08-01,1927-06-15
1925,Italy,Ottavio Bottecchia,Automoto–Hutchinson,"219h 10' 18""","+ 54' 20""",4,13,24.8km/h,,,1894-08-01,1927-06-15
1926,Belgium,Lucien Buysse,Automoto–Hutchinson,"238h 44' 25""","+ 1h 22' 25""",2,8,24.1km/h,,,1892-09-11,1980-01-03
1927,Luxembourg,Nicolas Frantz,Alcyon–Dunlop,"198h 16' 42""","+ 1h 48' 41""",3,14,27.2km/h,,,1899-11-04,1985-11-08
1928,Luxembourg,Nicolas Frantz,Alcyon–Dunlop,"192h 48' 58""","+ 50' 07""",5,22,28.4km/h,,,1899-11-04,1985-11-08
1929,Belgium,Maurice De Waele,Alcyon–Dunlop,"186h 39' 15""","+ 44' 23""",1,16,28.3km/h,,,1896-12-27,1952-02-14
1930,France,André Leducq,Alcyon–Dunlop,"172h 12' 16""","+ 14' 13""",2,13,28.0km/h,,,1904-02-27,1980-06-18
1931,France,Antonin Magne,France,"177h 10' 03""","+ 12' 56""",1,16,28.7km/h,,,1904-01-15,1983-09-08
1932,France,André Leducq,France,"154h 11' 49""","+ 24' 03""",6,19,29.0km/h,,,1904-02-27,1980-06-18
1933,France,Georges Speicher,France,"147h 51' 37""","+ 4' 01""",3,12,29.7km/h,,,1907-06-08,1978-01-24
1934,France,Antonin Magne,France,"147h 13' 58""","+ 27' 31""",3,22,30.4km/h,,,1904-01-15,1983-09-08
1935,Belgium,Romain Maes,Belgium,"141h 23' 00""","+ 17' 52""",3,21,30.7km/h,,,1912-08-10,1983-02-22
1936,Belgium,Sylvère Maes,Belgium,"142h 47' 32""","+ 26' 55""",4,14,31.1km/h,,,1909-08-27,1966-12-05
1937,France,Roger Lapébie,France,"138h 58' 31""","+ 7' 17""",3,4,31.8km/h,,,1911-01-16,1996-10-12
1938,Italy,Gino Bartali,Italy,"148h 29' 12""","+ 18' 27""",2,8,31.6km/h,1.72m,66kg,1914-07-18,2000-05-05
1939,Belgium,Sylvère Maes,Belgium,"132h 03' 17""","+ 30' 38""",2,8,32.0km/h,,,1909-08-27,1966-12-05
1947,France,Jean Robic,France,"148h 11' 25""","+ 3' 58""",3,1,31.3km/h,1.61m,60kg,1921-06-10,1980-10-06
1948,Italy,Gino Bartali,Italy,"147h 10' 36""","+ 26' 16""",7,9,33.4km/h,1.72m,66kg,1914-07-18,2000-05-05
1949,Italy,Fausto Coppi,Italy,"149h 40' 49""","+ 10' 55""",3,5,32.1km/h,1.77m,68kg,1919-09-15,1960-01-02
1950,Switzerland,Ferdinand Kübler,Switzerland,"145h 36' 56""","+ 9' 30""",3,11,32.8km/h,,,1919-07-24,2016-12-29
1951,Switzerland,Hugo Koblet,Switzerland,"142h 20' 14""","+ 22' 00""",5,11,32.9km/h,,,1925-03-21,1964-11-06
1952,Italy,Fausto Coppi,Italy,"151h 57' 20""","+ 28' 17""",5,14,32.2km/h,1.77m,68kg,1919-09-15,1960-01-02
1953,France,Louison Bobet,France,"129h 23' 25""","+ 14' 18""",2,5,34.6km/h,1.79m,75kg,1925-03-12,1983-03-13
1954,France,Louison Bobet,France,"140h 06' 05""","+ 15' 49""",3,14,33.2km/h,1.79m,75kg,1925-03-12,1983-03-13
1955,France,Louison Bobet,France,"130h 29' 26""","+ 4' 53""",2,6,34.4km/h,1.79m,75kg,1925-03-12,1983-03-13
1956,France,Roger Walkowiak,France,"124h 01' 16""","+ 1' 25""",0,8,36.3km/h,,,1927-03-02,2017-02-06
1957,France,Jacques Anquetil,France,"135h 44' 42""","+ 14' 56""",4,15,34.4km/h,1.76m,70kg,1934-01-08,1987-11-18
1958,Luxembourg,Charly Gaul,Luxembourg,"116h 59' 05""","+ 3' 10""",4,2,36.9km/h,1.73m,64kg,1932-12-08,2005-12-06
1959,Spain,Federico Bahamontes,Spain,"123h 46' 45""","+ 4' 01""",1,6,35.2km/h,,,1928-07-09,
1960,Italy,Gastone Nencini,Italy,"112h 08' 42""","+ 5' 02""",0,14,37.2km/h,,,1930-03-01,1980-02-01
1961,France,Jacques Anquetil,France,"122h 01' 33""","+ 12' 14""",2,21,36.0km/h,1.76m,70kg,1934-01-08,1987-11-18
1962,France,Jacques Anquetil,Saint-Raphaël–Helyett–Hutchinson,"114h 31' 54""","+ 4' 59""",2,3,37.3km/h,1.76m,70kg,1934-01-08,1987-11-18
1963,France,Jacques Anquetil,Saint-Raphaël–Gitane–R. Geminiani,"113h 30' 05""","+ 3' 35""",4,5,36.5km/h,1.76m,70kg,1934-01-08,1987-11-18
1964,France,Jacques Anquetil,Saint-Raphaël–Gitane–Dunlop,"127h 09' 44""","+ 55""",4,6,35.4km/h,1.76m,70kg,1934-01-08,1987-11-18
1965,Italy,Felice Gimondi,Salvarani,"116h 42' 06""","+ 2' 40""",3,18,35.9km/h,1.81m,71kg,1942-09-29,2019-08-16
1966,France,Lucien Aimar,Ford France–Hutchinson,"117h 34' 21""","+ 1' 07""",0,6,36.8km/h,,,1941-04-28,
1967,France,Roger Pingeon,Peugeot–BP–Michelin,"136h 53' 50""","+ 3' 40""",1,17,34.9km/h,1.82m,72kg,1940-08-28,2017-03-19
1968,Netherlands,Jan Janssen,Pelforth–Sauvage–Lejeune,"133h 49' 42""","+ 38""",2,1,33.6km/h,,,1940-05-19,
1969,Belgium,Eddy Merckx,Faema,"116h 16' 02""","+ 17' 54""",6,18,35.4km/h,1.82m,74kg,1945-06-17,
1970,Belgium,Eddy Merckx,Faemino–Faema,"119h 31' 49""","+ 12' 41""",8,20,35.6km/h,1.82m,74kg,1945-06-17,
1971,Belgium,Eddy Merckx,Molteni,"96h 45' 14""","+ 9' 51""",4,17,37.3km/h,1.82m,74kg,1945-06-17,
1972,Belgium,Eddy Merckx,Molteni,"108h 17' 18""","+ 10' 41""",6,15,35.5km/h,1.82m,74kg,1945-06-17,
1973,Spain,Luis Ocaña,Bic,"122h 25' 34""","+ 15' 51""",6,14,33.4km/h,1.65m,52kg,1945-06-09,1994-06-19
1974,Belgium,Eddy Merckx,Molteni,"116h 16' 58""","+ 8' 04""",8,18,35.2km/h,1.82m,74kg,1945-06-17,
1975,France,Bernard Thévenet,Peugeot–BP–Michelin,"114h 35' 31""","+ 2' 47""",2,8,34.9km/h,,,1948-01-10,
1976,Belgium,Lucien Van Impe,Gitane–Campagnolo,"116h 22' 23""","+ 4' 14""",1,12,34.5km/h,,58kg,1946-10-20,
1977,France,Bernard Thévenet,Peugeot–Esso–Michelin,"115h 38' 30""","+ 48""",1,8,35.4km/h,,,1948-01-10,
1978,France,Bernard Hinault,Renault–Gitane–Campagnolo,"108h 18' 00""","+ 3' 56""",3,3,36.1km/h,1.74m,62kg,1954-11-14,
1979,France,Bernard Hinault,Renault–Gitane,"103h 06' 50""","+ 13' 07""",7,17,36.5km/h,1.74m,62kg,1954-11-14,
1980,Netherlands,Joop Zoetemelk,TI–Raleigh–Creda,"109h 19' 14""","+ 6' 55""",2,10,35.1km/h,1.73m,68kg,1946-12-03,
1981,France,Bernard Hinault,Renault–Elf–Gitane,"96h 19' 38""","+ 14' 34""",5,18,39.0km/h,1.74m,62kg,1954-11-14,
1982,France,Bernard Hinault,Renault–Elf–Gitane,"92h 08' 46""","+ 6' 21""",4,12,38.1km/h,1.74m,62kg,1954-11-14,
1983,France,Laurent Fignon,Renault–Elf,"105h 07' 52""","+ 4' 04""",1,6,36.2km/h,1.74m,67kg,1960-08-12,2010-08-31
1984,France,Laurent Fignon,Renault–Elf,"112h 03' 40""","+ 10' 32""",5,7,35.9km/h,1.74m,67kg,1960-08-12,2010-08-31
1985,France,Bernard Hinault,La Vie Claire,"113h 24' 23""","+ 1' 42""",2,16,36.2km/h,1.74m,62kg,1954-11-14,
1986,United States,Greg LeMond,La Vie Claire,"110h 35' 19""","+ 3' 10""",1,7,37.0km/h,1.78m,67kg,1961-06-26,
1987,Ireland,Stephen Roche,Carrera Jeans–Vagabond,"115h 27' 42""","+ 40""",1,3,36.6km/h,1.75m,74kg,1959-11-28,
1988,Spain,Pedro Delgado,Reynolds,"84h 27' 53""","+ 7' 13""",1,11,38.9km/h,1.71m,64kg,1960-04-15,
1989,United States,Greg LeMond,AD Renting–W-Cup–Bottecchia,"87h 38' 35""","+ 8""",3,8,37.5km/h,1.78m,67kg,1961-06-26,
1990,United States,Greg LeMond,Z–Tomasso,"90h 43' 20""","+ 2' 16""",0,2,38.6km/h,1.78m,67kg,1961-06-26,
1991,Spain,Miguel Indurain,Banesto,"101h 01' 20""","+ 3' 36""",2,10,38.7km/h,1.86m,80kg,1964-07-16,
1992,Spain,Miguel Indurain,Banesto,"100h 49' 30""","+ 4' 35""",3,10,39.5km/h,1.86m,80kg,1964-07-16,
1993,Spain,Miguel Indurain,Banesto,"95h 57' 09""","+ 4' 59""",2,14,38.7km/h,1.86m,80kg,1964-07-16,
1994,Spain,Miguel Indurain,Banesto,"103h 38' 38""","+ 5' 39""",1,13,38.4km/h,1.86m,80kg,1964-07-16,
1995,Spain,Miguel Indurain,Banesto,"92h 44' 59""","+ 4' 35""",2,13,39.2km/h,1.86m,80kg,1964-07-16,
1996,Denmark,Bjarne Riis,Team Telekom,"95h 57' 16""","+ 1' 41""",2,13,39.2km/h,1.84m,71kg,1964-04-03,
1997,Germany,Jan Ullrich,Team Telekom,"100h 30' 35""","+ 9' 09""",2,12,39.3km/h,1.83m,73kg,1973-12-02,
1998,Italy,Marco Pantani,Mercatone Uno–Bianchi,"92h 49' 46""","+ 3' 21""",2,7,41.7km/h,1.72m,57kg,1970-01-13,2004-02-14
2006,Spain,Óscar Pereiro,Caisse d'Epargne–Illes Balears,"89h 40' 27""","+ 32""",0,8,40.8km/h,1.77m,68kg,1977-08-03,
2007,Spain,Alberto Contador,Discovery Channel,"91h 00' 26""","+ 23""",1,4,39.2km/h,1.76m,62kg,1982-12-06,
2008,Spain,Carlos Sastre,Team CSC,"87h 52' 52""","+ 58""",1,5,40.5km/h,1.73m,60kg,1975-04-22,
2009,Spain,Alberto Contador,Astana,"85h 48' 35""","+ 4' 11""",2,7,40.3km/h,1.76m,62kg,1982-12-06,
2010,Luxembourg,Andy Schleck,Team Saxo Bank,"91h 59' 27""","+ 1' 22""",2,12,39.6km/h,1.86m,68kg,1985-06-10,
2011,Australia,Cadel Evans,BMC Racing Team,"86h 12' 22""","+ 1' 34""",1,2,39.8km/h,1.74m,64kg,1977-02-14,
2012,Great Britain,Bradley Wiggins,Team Sky,"87h 34' 47""","+ 3' 21""",2,14,39.9km/h,1.90m,69kg,1980-04-28,
2013,Great Britain,Chris Froome,Team Sky,"83h 56' 20""","+ 4' 20""",3,14,40.6km/h,1.86m,69kg,1985-05-20,
2014,Italy,Vincenzo Nibali,Astana,"89h 59' 06""","+ 7' 37""",4,19,40.7km/h,1.80m,65kg,1984-11-14,
2015,Great Britain,Chris Froome,Team Sky,"84h 46' 14""","+ 1' 12""",1,16,39.6km/h,1.86m,69kg,1985-05-20,
2016,Great Britain,Chris Froome,Team Sky,"89h 04' 48""","+ 4' 05""",2,14,39.6km/h,1.86m,69kg,1985-05-20,
2017,Great Britain,Chris Froome,Team Sky,"86h 20' 55""","+ 54""",0,15,41.0km/h,1.86m,69kg,1985-05-20,
2018,Great Britain,Geraint Thomas,Team Sky,"83h 17' 13""","+ 1' 51""",2,11,40.2km/h,1.83m,71kg,1986-05-25,
2019,Colombia,Egan Bernal,Team Ineos,"82h 57' 00""","+ 1' 11""",0,2,40.6km/h,1.75m,60kg,1997-01-13,
2020,Slovenia,Tadej Poga?ar,UAE Team Emirates,"87h 20' 13""","+ 59""",3,,39.9km/h,1.77m,66kg,1998-09-21,
2021,Slovenia,Tadej Poga?ar,UAE Team Emirates,"82h 56' 36""","+ 5' 20""",3,,41.2km/h,1.77m,66kg,1998-09-21,
2022,Denmark,Jonas Vingegaard,Team Jumbo–Visma,"79h 32' 29""","+ 2' 43""",2,,41.8km/h,1.75m,60kg,1996-12-10,
